id,name,zipcode,smart_location,country,latitude,longitude
22742496,Gran apartamento para 8 a 15' de Sagrada Familia,8026,"Barcelona, Spain",Spain,41.4059,2.18362
22742743,"Stylish, 2 bedrooms, central, shared terrace, AC",8008,"Barcelona, Spain",Spain,41.39772,2.15717
22756295,"Central, shared terrace, stylish, 2 bedrooms, AC",8008,"Barcelona, Spain",Spain,41.39642,2.15755
22756444,STUDIO NEXT TO LAS RAMBLAS II,8002,"Barcelona, Spain",Spain,41.38088,2.17687
22757409,Habitacion,8013,"Barcelona, Spain",Spain,41.40543,2.18
22758186,Huge fancy studio with balcony near Arc de Triomf,8010,"Barcelona, Spain",Spain,41.39224,2.17596
22762840,LUXURY IN SAGRADA FAMILIA,8025,"Barcelona, Spain",Spain,41.40731,2.17477
22763595,Loft soleado cerca de Ramblas Wifi *Bcn*,8015,"Barcelona, Spain",Spain,41.37635,2.16362
22767977,Long Stay Apartment beautiful area of Barcelona,8022,"Barcelona, Spain",Spain,41.4125,2.13829
22768244,Habitación DOBLE en el Gótico GREAT Location,8002,"Barcelona, Spain",Spain,41.37815,2.17848
22772168,Collblanc Double Room Next to Camp Nou and Univers,8904,"L'Hospitalet de Llobregat, Spain",Spain,41.37607,2.11728
22778764,centrico y bonito piso,8029,"Barcelona, Spain",Spain,41.38822,2.14291
22784396,"Large Studio, modern and quiet",8010,"Barcelona, Spain",Spain,41.39235,2.17581
22785210,Cozy and bright studio near Plaza Catalunya,8010,"Barcelona, Spain",Spain,41.39242,2.17694
22800050,"Quiet Room in Gracia, near metro Joanic.",8024,"Barcelona, Spain",Spain,41.40901,2.16164
22801724,Habitación Plaza España,8004,"Barcelona, Spain",Spain,41.3703,2.14923
22805735,RAMBLA CATALUNYA 4 PAX,8007,"Barcelona, Spain",Spain,41.3913,2.16229
22807948,Unique Property in the Old Barcelona,8003,"Barcelona, Spain",Spain,41.38895,2.1735
22813570,Relax del mar,8019,"Barcelona, Spain",Spain,41.41547,2.21328
22813884,Habitación doble junto a la Universidad UB - UPC!,8904,"Barcelona, Spain",Spain,41.37693,2.11465
22824662,BASIC GRACIA 6 PAX LUMINOSO,8012,"Barcelona, Spain",Spain,41.40017,2.16187
22824976,Comfortable room in Born,8003,"Barcelona, Spain",Spain,41.38768,2.17834
